overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,tags
4.0,True,"03 9, 2013",A38NS6NF6WPXS,B00007GDFV,BTDoxies,This brand has been around a long time and you can count on good quality merchandise.  Held up well with no rips or stitching problems!,BUXTON QUALITY!,1362787200,,{'Color:': ' Black'},"['reliable', 'good quality', 'long-lasting', 'durable', 'no stitching issues']"
2.0,True,"01 27, 2013",A1KOKO3HTSAI1H,B00007GDFV,Robin Howard,I smoke 100's and these are NOT made for them.  I can get my cigarettes in it but it won't close. I was very disappointed.,Buxton Heiress Collection Black Leather Cigarette case,1359244800,,{'Color:': ' Black'},"['cigarette storage', ""100's cigarettes"", 'size compatibility', 'closure issue', 'disappointed']"
1.0,True,"01 4, 2013",A1G3S57JGZNPCL,B00007GDFV,kimberly a schotthoefer,"cheap and cheesy, but i guess i could have expected that for the price, won't purchase another without seeing first",inexpensive case,1357257600,,{'Color:': ' Black'},"['cheap and cheesy', 'low quality', 'affordable option', 'buyer beware', 'see before buying']"
1.0,True,"07 30, 2012",AGBL3TTP6GV4X,B00007GDFV,gallina,"I ordered a ladies cigarette case for my wife, and a pack of Marlboro 100's would not fit in the case!!!!  I was ripped off!!!  A cigarette case should be able to hold any cigarette pack!!!!  I will not do business with Silverhooks again!!!!

It's not even worth the postage to send it back!!!!

Dissatisfied big time!!!!",i was ripped off!!!!,1343606400,,{'Color:': ' Black'},"['ladies cigarette case', ""Marlboro 100's"", 'ripped off', 'cigarette pack', 'Silverhooks']"
4.0,True,"03 12, 2010",A1Y36BSE9GKXLV,B00007GDFV,Ms Irish,"Received the case in less than a week...was very satisfied with the product...only one problem...not really a problem with product, but with price as inside the product was a Buxton tag that showed sugg retail at $9.99 and I paid $11.99.  Hmmm...didn't quite understand this, but what are you going to do?!  Beware...as I think that had I gone to the Buxton web site I may have been able to obtain the same product for the sugg retail price.",Great bargain,1268352000,2,,"['fast delivery', 'satisfied with product', 'price discrepancy', 'confusing pricing', 'beware of price difference']"
3.0,True,"10 31, 2017",A1L1U968VNYVA4,B00007GDFV,J.G.,Love it but it tore up shortly after I got it. I ordered two and they both tore at the part that connects to the metal. Great seller though. Very prompt.,Love it but it tore up shortly after I got ...,1509408000,,{'Color:': ' Black'},"['Love it', 'Tore up', 'Connects to metal', 'Great seller', 'Prompt']"
5.0,True,"10 24, 2017",A1NSKPSR0XZ0C9,B00007GDFV,Jules,I love it it is just what I was looking for thank you!,Perfect just what I was looking for!,1508803200,,{'Color:': ' Black'},"['love', 'looking for', 'thank you', 'online shopping', 'mall']"
5.0,False,"10 13, 2017",A3O5SXH5O8DWRP,B00007GDFV,Debra Humphreys,"Quality product, I am very happy with my purchase.",I am very happy with my purchase,1507852800,,{'Color:': ' Black'},"['Quality product', 'Happy with purchase']"
4.0,False,"10 11, 2017",A3I52T3ZCLRZZA,B00007GDFV,Ann Bishop,"I like it except it is not quite big enough for the brand I smoke which is Salem Slim 100s.  They only come in the box type, I do tear the top of the box off but they still get a little smashed up at the filters.",I like it except it is not quite big enough for ...,1507680000,,{'Color:': ' Black'},"['not big enough', 'brand: Salem Slim 100s', 'box type', 'smashed up filters', 'top of the box torn off']"
3.0,True,"10 7, 2017",A3VWTJR1QOI7JR,B00007GDFV,Amazon Customer,It is smaller than what I was expecting. The zipper compartment is not big enough .,Three Stars,1507334400,,{'Color:': ' Black'},"['smaller size', 'zipper compartment', 'not big enough']"
5.0,True,"09 17, 2017",A1L5PG0YZ4TNSZ,B00007GDFV,karen puckett,love it,Five Stars,1505606400,,{'Color:': ' Black'},['love it']
1.0,True,"07 27, 2017",A19OTBIPAMJUU1,B00007GDFV,Constance J Tomazic,Don't like it. It will not hold my cigarettes. Not long enough.,One Star,1501113600,,{'Color:': ' Black'},"['dislike', 'not suitable for cigarettes', 'not long enough']"
4.0,True,"07 16, 2017",A3IT0MD9QUFZEK,B00007GDFV,Amazon Customer,love,Four Stars,1500163200,,{'Color:': ' Black'},['love']
4.0,True,"07 2, 2017",A1IER9LE7FBJ95,B00007GDFV,Angel3954,Wonderful item. I have purchased several of these. They last forever unless you lose them.  I am happy with my purchase Buxton is made to last.,Made to last,1498953600,,{'Color:': ' Black'},"['Wonderful item', 'Durable', 'Long-lasting', 'Satisfied customer', 'Buxton brand']"
5.0,True,"06 27, 2017",A3DZQ7TB4ZUWKG,B00007GDFV,yolanda hernandez,"I just love it! I think this is my six or seven case from Buxton. They are very stylish, durable and proper if you don't want your cigarette packet crushed inside your purse",LOVE IT!,1498521600,,{'Color:': ' Black'},"['love it', 'Buxton case', 'stylish', 'durable', 'cigarette packet']"
4.0,True,"06 22, 2017",A199RALD1NLRC1,B00007GDFV,Joni,made well but will only hold a small pack of ciggs I don't smoke I use  this as a tip holder for work I bought a different one last year but it is falling apart so I replaced it with this brand.  The zipper compartment won't hold anything its to small,made well but will only hold a small pack of ...,1498089600,,{'Color:': ' Black'},"['well-made', 'small capacity', 'tip holder', 'durable replacement', 'small zipper compartment']"
5.0,True,"06 8, 2017",AGKFQHYCZNM4C,B00007GDFV,BB,"I've ordered quite a few cases from Amazon and this one is my favorite!!
Beautiful, slim and perfect for smaller handbags!",... few cases from Amazon and this one is my favorite!! Beautiful,1496880000,,{'Color:': ' Black'},"['Amazon', 'cases', 'favorite', 'beautiful', 'slim']"
5.0,True,"05 29, 2017",A3U5MNMZSEDZZP,B00007GDFV,Mark St,Holds my cigarettes and it is durable and looks great.,Perfect,1496016000,,{'Color:': ' Black'},"['cigarette holder', 'durable', 'stylish']"
1.0,True,"05 28, 2017",A3BAY1QXF3EWNZ,B00007GDFV,yolanda,Does not hold 120s to small for a lighter,One Star,1495929600,,{'Color:': ' Black'},[]
1.0,True,"05 5, 2017",A2Z3HHIK3TTV0G,B00007GDFV,Amazon Customer,"It fits my cigarettes, however very cheep material and smaller than the usual size of these. I would never purchase another one. It seems like a dollar store item",Smaller in size than usual cigarette pouch,1493942400,,{'Color:': ' Black'},"['Fits cigarettes', 'Cheap material', 'Smaller size', 'Not worth purchasing', 'Dollar store item']"
1.0,True,"04 26, 2017",A2EUX33TUV4ZDT,B00007GDFV,Amazon Customer,Terrible quality,One Star,1493164800,,{'Color:': ' Black'},['Terrible quality']
3.0,True,"04 26, 2017",A1L18RRN4JRM9X,B00007GDFV,Maria T Franklin,nice but does not fit 100s,Three Stars,1493164800,,{'Color:': ' Black'},"['nice', 'does not fit', '100s']"
4.0,True,"04 22, 2017",A250EKRI26TIFN,B00007GDFV,Angie Qualls,Good quality,Four Stars,1492819200,,{'Color:': ' Black'},['Good quality']
4.0,True,"03 29, 2017",A2MNX0U99140FN,B00007GDFV,Pat,I like the case.  A lighter fits in the opening without a problem,Four Stars,1490745600,,{'Color:': ' Black'},"['case', 'lighter-friendly', 'convenient', 'good fit', 'like']"
5.0,True,"03 18, 2017",AY49M8RQ2DQEZ,B00007GDFV,Dawn Babineaux,"I love it , it is the first one that I have found too fit the 120's cigerette's. Thanks so much for finding this case for me.","I love it, it is the first one that I ...",1489795200,,{'Color:': ' Black'},"['love it', 'perfect fit', 'cigarette case', 'online shopping', 'thank you']"
5.0,True,"02 1, 2017",A3AEN8LPIEP9M3,B00007GDFV,Amazon Customer,I love it thank you,Five Stars,1485907200,,{'Color:': ' Black'},"['love', 'thank you']"
3.0,True,"01 26, 2017",A2B9FMHID9LQIP,B00007GDFV,Carolynmlubbe,nice but to small for my 100s cigs,Three Stars,1485388800,,{'Color:': ' Black'},"['small size', 'cigarette case', 'compact', 'not enough space', 'limited capacity']"
1.0,True,"01 25, 2017",A1ERA1AO8X51GM,B00007GDFV,Amazon Customer,"Says it fits 100s, nut does not",Great for reg size cigarettes,1485302400,,{'Color:': ' Black'},"['fits 100s', 'does not']"
4.0,True,"01 17, 2017",A3SV82X8L7P7BC,B00007GDFV,Amazon Customer,"The outside pocket isn't wide enough for my needs, but these are SO HARD TO FIND anymore.",Four Stars,1484611200,,{'Color:': ' Black'},"['outside pocket not wide enough', 'hard to find', 'online shopping', 'mall', 'pocket size']"
5.0,True,"01 7, 2017",A1R3T24ZJPSON4,B00007GDFV,Paul A Ladd,Excellent product!,Five Stars,1483747200,,{'Color:': ' Black'},[]
5.0,True,"12 22, 2016",A2WMR9TYUUTERH,B00007GDFV,Danette,Excellent product and service! Thank you!,Five Stars,1482364800,,{'Color:': ' Black'},"['Excellent', 'Product', 'Service', 'Thank You']"
5.0,True,"12 16, 2016",A3G58CS3X3Y2GN,B00007GDFV,Jane H. McGarity,Perfect cigarette case.  These are so hard to find anymore that I was delighted with it.,Five Stars,1481846400,,{'Color:': ' Black'},[]
3.0,True,"11 16, 2016",A1200LTZD71U8Z,B00007GDFV,Sarah13,"Too small, and my lighter falls out all the time",Three Stars,1479254400,,{'Color:': ' Black'},"['Too small', 'lighter falls out', 'inadequate size', 'poor design', 'unsecure closure']"
2.0,True,"10 25, 2016",A1CAOCSFFXYLNY,B00007GDFV,Ann,"It's ok, It doesn't close if you have 100's",Two Stars,1477353600,,{'Color:': ' Black'},"['ok', ""doesn't close"", ""100's""]"
4.0,True,"10 22, 2016",A39QCH6O2YZDW3,B00007GDFV,Ann H.,"Nice quality, but a little small for 100's.  Would be great for shorts.",Four Stars,1477094400,,{'Color:': ' Black'},"['nice quality', 'small fit', '100s', 'great for shorts']"
5.0,True,"10 18, 2016",A1UXETM1SKWGUA,B00007GDFV,Carlene Humphreys,Exactly what I wanted. THANKS,Five Stars,1476748800,,{'Color:': ' Black'},"['Exactly', 'what', 'I wanted', 'THANKS']"
5.0,True,"10 11, 2016",A2UBF08AD81451,B00007GDFV,CAROL,"Just what I order,beru pleased.",beru pleased.,1476144000,,{'Color:': ' Black'},"['Just what I order', 'very pleased']"
5.0,True,"09 26, 2016",A3GUR769R24GT6,B00007GDFV,denise clark,all leather,Five Stars,1474848000,,{'Color:': ' Black'},"['genuine leather', 'high-quality leather', 'leather products', 'leather accessories', 'luxury leather']"
5.0,True,"09 14, 2016",ANKPT4Y83UPES,B00007GDFV,Amazon Customer,This works so very good to keep your cig.. lighter ans anything else you may want to eep in it,This works so very good to keep your cig,1473811200,,{'Color:': ' Black'},"['cigarette holder', 'lighter case', 'storage', 'portable', 'convenient']"
5.0,True,"09 11, 2016",A1G296RX7P6LE2,B00007GDFV,Karol C. Mannherz,Perfect size and really nice!,Five Stars,1473552000,,{'Color:': ' Black'},"['perfect size', 'nice', 'online shopping', 'mall', 'product review']"
5.0,True,"08 20, 2016",A314QCYP9B2GWL,B00007GDFV,Cindy Reaux,Awesome,Five Stars,1471651200,,{'Color:': ' Black'},['Awesome']
5.0,True,"08 2, 2016",A3DPAXQ6HGRS3W,B00007GDFV,lara weber,"Soft leather, very well made.",Five Stars,1470096000,,{'Color:': ' Black'},"['soft leather', 'well made']"
5.0,True,"07 30, 2016",A1JOKKNG15VE62,B00007GDFV,Amazon Customer,great!!,great!,1469836800,,{'Color:': ' Black'},['great!!']
5.0,True,"07 21, 2016",A15J2WC6RKXTJF,B00007GDFV,Linda Staaf,Great,Five Stars,1469059200,,{'Color:': ' Black'},['Great']
1.0,True,"05 11, 2016",ALJEJH7DMUVB0,B00007GDFV,Pearl Hodge,NOT GOOD FOR ME I THOUGHT IT WAS 100 PK,One Star,1462924800,,{'Color:': ' Black'},"['not good', 'not for me', 'misleading', 'thought it was 100 PK', 'disappointed']"
3.0,True,"05 6, 2016",A17MLTZBHMAWJB,B00007GDFV,Daryl,"Lining in lighter pocket tore within a very short time, had to dab a little contact adhesive between lining and leather to hold it in place and stop it bunching and snagging lighter. Purchased one black one brown, black one used most and has no centre seam down front lighter or rear coin pockets. Brown one has (pointless) decorative centre seam (as usually illustrated) front and rear. Front seam stitching has no reinforcing at lighter pocket opening. Looks likely to give trouble sooner rather than later. Leather is good and solid. Size is spot on for regular (84mm) packs of 20 (after a little use). O.k., But not the ""premium product"" I used to associate with the Buxton name many years ago.",Could be better.,1462492800,,{'Color:': ' Black'},[]
4.0,True,"03 10, 2016",A1ALMLGB7P0P9W,B00007GDFV,Theodore John,Good product but not for 100's or 120's.,Decent product,1457568000,,{'Color:': ' Black'},"['good product', 'not for 100s', 'not for 120s']"
1.0,True,"09 17, 2015",A766YIHEB710J,B00007GDFV,stacey echols,Too small,One Star,1442448000,,{'Color:': ' Black'},['Too small']
4.0,True,"09 3, 2015",A1C4CHINHZ2DQZ,B00007GDFV,Debbie Accardo,"I like this case, but I smoke 100's and it is a little tighter fit than I would like. Otherwise it seems great quality",I like this case,1441238400,,{'Color:': ' Black'},[]
3.0,True,"08 19, 2015",AS0MJDADR27QL,B00007GDFV,Leslie Story,Nice case but not really large enough for the 100's cigarettes,Three Stars,1439942400,,{'Color:': ' Black'},"['nice case', 'small size', 'cigarette holder', 'compact design', 'limited capacity']"
5.0,True,"08 15, 2015",AYUZJQLVLF3QS,B00007GDFV,Kara Padgett,"Great buy...the case is very soft and fits kings only, which is what my mom wanted... only problem is shipping, it arrived over a week later than was promised because it was sent all over the US I stead of straight to me...",Great case... very soft,1439596800,,{'Color:': ' Black'},"['Great buy', 'soft case', 'fits kings only', 'shipping delay', 'sent all over US']"
4.0,True,"08 5, 2015",A2W0ONN65O2TYF,B00007GDFV,Chip,"Good, just what I expected.",Four Stars,1438732800,,{'Color:': ' Black'},"['Good', 'expected']"
4.0,True,"07 18, 2015",A22PZ25GW4W3BB,B00007GDFV,Susan,Bought this for my mom as hers was really worn out. Like the added addition of the zipper pocket!,tried and true!,1437177600,,{'Color:': ' Black'},"['gift', 'mom', 'zipper pocket', 'worn out', 'online shopping']"
5.0,True,"06 4, 2015",AY7PVQ0RIC71D,B00007GDFV,Debra McCarty,"I had been looking for a replacement for a cigarette case I'd had for over 25 years and lost. After reviewing several I settled on this one. It was very well made, the leather was soft, not stiff or cheap looking. I loved the little front pocket that kept my lighter handy and easy to keep up with. There is even a small zippered pocket for change or whatever else. I was very pleased with it. Unfortunately, I had not read the description well enough and I discovered this case DOES NOT fit the 100's. It was such a nice case that I gave it to my daughter rather than return it. She has been more than pleased with it. I'm hoping the new one I have ordered is as nice.",Better than I expected,1433376000,8,{'Color:': ' Black'},"['cigarette case', 'replacement', 'well made', 'leather', 'front pocket']"
5.0,True,"06 2, 2015",A19CJ70DU6QCFL,B00007GDFV,Larry Du Bois,It's just what I wanted.,Five Stars,1433203200,,{'Color:': ' Black'},"['perfect', 'satisfied', 'exactly as described', 'ideal', 'great']"
3.0,True,"05 15, 2015",A3M8TFXX7X72B8,B00007GDFV,sherry millican,Pretty wallet but to small for the cigarettes,Three Stars,1431648000,,{'Color:': ' Black'},"['pretty', 'wallet', 'small', 'cigarettes']"
3.0,True,"05 11, 2015",A3T2YVSZDD3CM7,B00007GDFV,Rebecca M Overbay,"I was disappointed to find the my 100's won't fit in this case. Otherwise, it was exactly what I wanted. If there is a bigger one just like this, I wish someone would point it out to me. I'd buy it in a heartbeat!","Too short, but lovely material",1431302400,,{'Color:': ' Black'},"['disappointed', 'size issue', 'wanted item', 'bigger size', 'recommend']"
2.0,True,"05 11, 2015",AVOQ2D9EYXWGR,B00007GDFV,Lisa Grenier,Is very small. Doesn't  fit my smokes...,Way to small for purpose.,1431302400,,{'Color:': ' Black'},"['small size', 'poor fit', 'incompatible with smokes']"
5.0,True,"05 7, 2015",A3P1G82E27TSGT,B00007GDFV,Julie B. Cannon,Worked great for my 100's I smoke.  Leather was supple and would definitely buy again. I wish It came in RED or PURPLE. Black is sooo hard to find in a black lined purse.,100's FIT!,1430956800,,{'Color:': ' Black'},[]
4.0,True,"04 26, 2015",AQGQYBQYR3STV,B00007GDFV,YaYa,"Perfect leather cigarette case/purse, if you smoke the shorties. I gave this 4 stars because I didn't read the fine print where it said it will not accommodate Lights 100s aka the longer cigarettes.",Not for the longer variety cigarettes.,1430006400,,{'Color:': ' Black'},"['leather', 'cigarette case', 'purse', 'shorties', 'lights 100s']"
5.0,True,"04 16, 2015",A3TLFFGO88RXWZ,B00007GDFV,Brebojack,Hard to find and still the best,Five Stars,1429142400,,{'Color:': ' Black'},"['hard to find', 'best']"
4.0,True,"03 21, 2015",A1VGWYY619A5XP,B00007GDFV,Jacqueline Pendry,a little to short but will work,Four Stars,1426896000,,{'Color:': ' Black'},"['short', 'work']"
4.0,True,"03 19, 2015",A3T0AMZM20RB0Q,B00007GDFV,JW,"Purchased 2 cases, the quality of the leather is really good, I just wish the case was a little larger,once you put your cigarettes and lighter in the case you don't have any room
to put anything in the little side zip pocket.",Buxton Heiress Cigarette Case,1426723200,,{'Color:': ' Black'},"['leather case', 'good quality', 'small size', 'cigarette case', 'zip pocket']"
2.0,True,"03 17, 2015",AY7JAF0XNNP2Y,B00007GDFV,sandi,doesn't fit 100's,Two Stars,1426550400,,{'Color:': ' Black'},"[""doesn't"", 'fit', ""100's""]"
2.0,True,"03 6, 2015",A19IPL5EJ0LPXM,B00007GDFV,Winnie,It does not fit 100's,Two Stars,1425600000,,{'Color:': ' Black'},"['clothing', 'size', 'fit', '100s', 'not suitable']"
1.0,True,"02 2, 2015",A27FYT0ON5V4YP,B00007GDFV,melissa gelb,"This product is not a good fit as it does not hold 100s, so I have to send it back.",This product is not a good fit as it does not hold 100s,1422835200,,{'Color:': ' Black'},"['not a good fit', 'does not hold 100s', 'send it back']"
5.0,True,"01 13, 2015",A1HUT1KXYIX10E,B00007GDFV,John killmore,Love this case I have had about 10 of them over the years so glad you carry them,Five Stars,1421107200,,{'Color:': ' Black'},"['phone case', 'durable', 'long-lasting', 'variety of options', 'customer satisfaction']"
1.0,True,"01 9, 2015",A1C9V3D7VQY0N0,B00007GDFV,NBJ,I ordered black got brown not happy!,Wrong color,1420761600,,{'Color:': ' Black'},"['online shopping', 'mall', 'ordering', 'product', 'customer satisfaction']"
5.0,False,"10 9, 2014",A10FS7ZU5TZX5U,B00007GDFV,incognito,Buxton has always used quality leather in all of the products they have offered over the years and they still do. The case is very well constructed and should last many years.,Quality,1412812800,,{'Color:': ' Black'},"['Buxton', 'quality leather', 'well constructed', 'long-lasting', 'high durability']"
4.0,True,"09 11, 2014",A3RIJKIV3O22D7,B00007GDFV,Kristi Brown,barely holds a pack of 100's but would be better if i smoked regulars,Four Stars,1410393600,,{'Color:': ' Black'},[]
5.0,True,"09 5, 2014",AP8XUU73JEDOD,B00007GDFV,luv2sing,Very pleased with this cigarette case. I've had the exact same one before but I lost it. It holds up really well compared to some other cases I've owned. You won't be sorry if you purchase this and the price is right.,Love it !!!,1409875200,,{'Color:': ' Black'},"['cigarette case', 'durable', 'lost and found', 'good value', 'satisfaction guaranteed']"
5.0,True,"08 19, 2014",A1N8J8NF8LKHMZ,B00007GDFV,Mrs.Dennis,Perfect and durable. I love the look and feel of this case. I have purchased two different colors and considering a third. Love it!,Great case!,1408406400,,{'Color:': ' Black'},"['Perfect', 'Durable', 'Look and feel', 'Case', 'Love it']"
4.0,True,"08 2, 2014",A3AME91RJHPFCF,B00007GDFV,DumDum,Great value at price.,Four Stars,1406937600,,{'Color:': ' Black'},"['great value', 'price', 'online shopping', 'mall', 'affordable']"
5.0,True,"07 29, 2014",A3I3NVZFMPFN0L,B00007GDFV,Jeanne G.,"Well made, nice leather too!",Handy item!,1406592000,,{'Color:': ' Black'},"['well_made', 'nice_leather', 'high_quality', 'durable', 'stylish']"
3.0,True,"07 15, 2014",A2YOEYF1R5Y3ZK,B00007GDFV,SHERRI J,"IT IS ATTRACTIVE, BUT IT'S ON THE SMALL SIDE. MY CIGARETTES DO FIT IN THERE, BUT WITH FORCING. THE LONGER THAT I USE IT, THE MORE IT STRETCHES OUT SOME. IT'S NOT AS TIGHT AS IN THE BEGINNING.","IT IS ATTRACTIVE, BUT IT'S ON THE SMALL SIDE ...",1405382400,,{'Color:': ' Black'},"['attractive', 'small', 'tight fit', 'stretchable', 'cigarette holder']"
5.0,True,"05 28, 2014",AM30JIRURQZHW,B00007GDFV,Joanne Mckenna Simoneau,"I bought this for a relative of mine. I haven't seen it as I sent it to her in another state. But She said that she really likes it, is very happy with it. Its just what she wanted.  it is made very well.",very nice,1401235200,,{'Color:': ' Black'},[]
5.0,True,"05 8, 2014",A3F3OTRNPZ5735,B00007GDFV,Patty Church,"I cannot believe this case cost as little as it did.  I was skeptical of what the quality was going to be like after I ordered it.  When I received it I was amazed because it is real leather and it looks fabulous.  It is a little snug if you try to put a hard pack in it but all you have to do is tear off the top off the cigarettes and they fit.

GREAT BUY",More than worth it,1399507200,,{'Color:': ' Black'},"['affordable', 'high quality', 'real leather', 'stylish', 'functional']"
5.0,True,"04 15, 2014",A1K7SS85XHUHN9,B00007GDFV,Beryl Blessing,"I ordered the Buxton Heiress collection Black  Leather cigarette Case with lighter pocket, instead I received Urban Express Sandra Framed Wallet, Pewter, the  wallet is mismarked, The code bar on the wallet is for  the Buxton Cigarette case, just wrong merchandise, I am returning it in exchange for the Black Heiress collection cigarette case that I ordered, as for your merchandise I am very happy with it,",Received wrong Item.,1397520000,,{'Color:': ' Black'},"['Buxton Heiress collection', 'Black Leather cigarette Case', 'lighter pocket', 'Urban Express Sandra Framed Wallet', 'Pewter']"
1.0,True,"03 1, 2014",A3F4Y6VLM65ENP,B00007GDFV,Crist P,"The material did not feel like leather at all.  Felt very cheap and plasticy and like it would rip very easily.  Returned this.
The seller however was great - very quick shipping and return processing.",Felt very cheap,1393632000,,{'Color:': ' Black'},"['poor quality', 'not real leather', 'cheap material', 'quick shipping', 'great seller']"
1.0,True,"02 22, 2014",A3A91NZUKX73XR,B00007GDFV,michael p woodland,"would not hold box she did not like it too small
would not tell anyone else to buy this product",too small,1393027200,,{'Color:': ' Black'},"['not durable', 'too small', 'not recommended', 'poor quality', 'not worth the price']"
1.0,True,"02 9, 2014",A3NFKIEHPH3804,B00007GDFV,Adam Upson,Bought this for my wife and did not read the fine print. I thought it safe to assume a women's cigarette case would hold 100's. Not the case (pardon the punn). so I had to return this and buy the correct size which of course can be found on Amazon.,Does Not Hold 100's,1391904000,,{'Color:': ' Black'},[]
4.0,True,"01 29, 2014",A2YOE75F9F3J9G,B00007GDFV,Mare,"This was a gift, and the recipient loved it. It suits the purpose it was intended for when I purchased it.",Recipient Was Happy,1390953600,,{'Color:': ' Black'},"['gift', 'recipient loved', 'suits purpose', 'purchased', 'online shopping']"
5.0,True,"01 3, 2014",A177PJCG55V7VC,B00007GDFV,alice,this was a gift and the party was very happy with it  only if could be a little larger for larger pkg. .leather was  very soft.,dressie look,1388707200,,{'Color:': ' Black'},[]
3.0,True,"12 17, 2013",ADJHG92KR09E5,B00007GDFV,Ruby A. Judy,Smaller than my previous case that was the same brand ect...  Quality is good as always. Just wish it had been larger.,Too small,1387238400,,{'Color:': ' Black'},"['smaller size', 'same brand', 'good quality', 'larger size', 'online shopping']"
5.0,True,"11 21, 2013",A2OQYZLYAY56CG,B00007GDFV,Diana D.,I use the same case for my smokes. the last one lasted 6 years that's why I always buy this one! love it,Always,1384992000,,{'Color:': ' Black'},"['cigarette case', 'durable', 'long-lasting', 'reliable', 'satisfied customer']"
1.0,False,"08 5, 2013",A18OTKD24P3AT8,B00008JOQI,cynthia scarfo,"We tried these shirts in the pinpoint fabric, but after washing they are the worst wrinkled shirt I have ever tried.  I have a steam dryer and it looks like it was rolled into a ball wet and then dried, awful!  The quality is fine, but if you iron your own shirts beware.  Probably okay if you use the cleaners.",Paul Fredrick dress shirt VERY hard to iron,1375660800,7,,[]
5.0,True,"07 22, 2017",A6NHYSECVGF1O,B00008JOQI,David Edwards,Hard to find shirts that are not non-iron (which don't hold up well to commercial laundering) anymore. These are good.,Perfect. Hard to find shirts that are not non-iron,1500681600,,"{'Size:': ' 17 - 37', 'Color:': ' White'}","['non-iron shirts', 'commercial laundering', 'hard to find', 'good quality', 'online shopping']"
2.0,True,"07 17, 2017",A1BB1HMMA1GAX8,B00008JOQI,Rider for Life,"Below average for the money.  The button holes are poorly finished and the fabric is thin enough that you'll want to wear an undershirt.  I have no doubt it'll shrink badly if washed.  There is NO wrinkle control so it arrived folded but looked like an old rag when unpackaged.  This just adds to the fact it's cheap material.  I see this as a dry clean only occasional use dress shirt.

The sad thing is their other shirts may use better material but if they don't and I paid $69 for a shirt of this quality I'd return it.  My search continues for a good quality dress shirt at a reasonable price!",Below expectations,1500249600,,"{'Size:': ' 16.5 - 33', 'Color:': ' White'}",[]
